#Temps	EA1

0.0001064	0.514484656974673
0.0001068	0.519474803470075
0.0001072	0.519474803470075
0.0001076	0.524464949965477
0.000108	0.50450436398387
0.0001084	0.499514217488468
0.0001088	0.484543778002262
0.0001092	0.464583192020655
0.0001096	0.444622606039047
0.00011	0.419671873562038
0.0001104	0.394721141085029
0.0001108	0.364780262112617
0.0001112	0.329849236644804
0.0001116	0.294918211176991
0.000112	0.259987185709178
0.0001124	0.225056160241365
0.0001128	0.185134988278151
0.0001132	0.145213816314936
0.0001136	0.105292644351721
0.000114	0.0653714723885059
0.0001144	0.0254503004252911
0.0001148	-0.00948072504252195
0.0001152	-0.0543920435011387
0.0001156	-0.0893230689689517
0.000116	-0.124254094436765
0.0001164	-0.16417526639998
0.0001168	-0.194116145372391
0.0001172	-0.224057024344802
0.0001176	-0.253997903317213
0.000118	-0.278948635794222
0.0001184	-0.303899368271232
0.0001188	-0.323859954252839
0.0001192	-0.343820540234447
0.0001196	-0.358790979720652
0.00012	-0.373761419206858
0.0001204	-0.383741712197661
0.0001208	-0.388731858693063
0.0001212	-0.393722005188465
0.0001216	-0.393722005188465
0.000122	-0.388731858693063
0.0001224	-0.383741712197661
0.0001228	-0.37875156570226
0.0001232	-0.363781126216054
0.0001236	-0.35380083322525
0.000124	-0.333840247243643
0.0001244	-0.318869807757437
0.0001248	-0.293919075280428
0.0001252	-0.27395848929882
0.0001256	-0.244017610326409
0.000126	-0.229047170840204
0.0001264	-0.199106291867793
0.0001268	-0.169165412895381
0.0001272	-0.13922453392297
0.0001276	-0.114273801445961
0.000128	-0.079342775978148
0.0001284	-0.0494018970057368
0.0001288	-0.0194610180333257
0.0001292	0.00548971444368362
0.0001296	0.0354305934160948
0.00013	0.0703616188839078
0.0001304	0.0953123513609171
0.0001308	0.120263083837926
0.0001312	0.145213816314936
0.0001316	0.170164548791945
0.000132	0.190125134773552
0.0001324	0.21008572075516
0.0001328	0.230046306736767
0.0001332	0.245016746222973
0.0001336	0.259987185709178
0.000134	0.269967478699982
0.0001344	0.279947771690786
0.0001348	0.28992806468159
0.0001352	0.294918211176991
0.0001356	0.294918211176991
0.000136	0.294918211176991
0.0001364	0.294918211176991
0.0001368	0.28992806468159
0.0001372	0.284937918186188
0.0001376	0.269967478699982
0.000138	0.26497733220458
0.0001384	0.250006892718375
0.0001388	0.240026599727571
0.0001392	0.225056160241365
0.0001396	0.21008572075516
0.00014	0.190125134773552
0.0001404	0.175154695287347
0.0001408	0.150203962810338
0.0001412	0.13024337682873
0.0001416	0.105292644351721
0.000142	0.0853320583701134
0.0001424	0.0653714723885059
0.0001428	0.0404207399114966
0.0001432	0.0154700074344873
0.0001436	-0.00449057854712009
0.000144	-0.0244511645287275
0.0001444	-0.0494018970057368
0.0001448	-0.0693624829873443
0.0001452	-0.0893230689689517
0.0001456	-0.109283654950559
0.000146	-0.119263947941363
0.0001464	-0.144214680418372
0.0001468	-0.154194973409176
0.0001472	-0.169165412895381
0.0001476	-0.184135852381587
0.000148	-0.194116145372391
0.0001484	-0.204096438363194
0.0001488	-0.204096438363194
0.0001492	-0.214076731353998
0.0001496	-0.2190668778494
0.00015	-0.224057024344802
0.0001504	-0.224057024344802
0.0001508	-0.2190668778494
0.0001512	-0.2190668778494
0.0001516	-0.214076731353998
0.000152	-0.209086584858596
0.0001524	-0.204096438363194
0.0001528	-0.189125998876989
0.0001532	-0.179145705886185
0.0001536	-0.169165412895381
0.000154	-0.159185119904578
0.0001544	-0.144214680418372
0.0001548	-0.129244240932167
0.0001552	-0.114273801445961
0.0001556	-0.0993033619597554
0.000156	-0.0843329224735498
0.0001564	-0.0643723364919424
0.0001568	-0.0494018970057368
0.0001572	-0.0294413110241294
0.0001576	-0.0144708715379238
0.000158	0.000499567948281765
0.0001584	0.0154700074344873
0.0001588	0.0354305934160948
0.0001592	0.0504010329023004
